fecha,era_k,delta,M_m,M_l,M_s,theta,tension,coherente,gap_horas,fragiles
2026-07-06,1,30.6,3.4,6.0,4.9,60.0,454.1,OK,,""
2026-07-07,1,29.3,3.5,6.1,5.2,58.9,460.6,OK,,""
2026-07-09,1,25.4,3.7,6.3,5.5,57.3,464.7,OK,48,""
2026-07-13,1,27.8,3.6,6.5,5.6,55.7,405.5,OK,96,""
2026-07-14,1,24.2,3.9,6.5,5.7,55.2,427.9,OK,,""
2026-07-15,1,25.4,3.8,6.5,5.9,55.2,463.6,OK,,""
2026-07-18,1,24.3,3.9,6.4,5.9,56.2,460.0,OK,72,""
2026-07-19,1,25.1,3.8,6.7,6.0,54.1,324.1,OK,,""
2026-07-20,1,29.1,3.7,6.5,5.8,55.0,373.6,OK,,""
2026-07-21,1,22.2,4.3,6.3,6.2,57.5,336.6,OK,,""
2026-07-22,1,22.8,4.3,5.7,5.4,62.9,326.3,OK,,""
2026-07-23,1,21.7,4.5,5.3,5.2,67.6,395.4,OK,,""
